"FIPS","County","State","Type","RE","Sex","All.Site","Bladder","Brain...ONS","Cervix","Colon...Rectum","Corpus.Uteri...Uterus..NOS","Esophagus","Female.Breast","Kidney...Renal.Pelvis","Leukemia","Liver...IBD","Lung...Bronchus","Melanoma.of.the.Skin","Non.Hodgkin.Lymphoma","Oral.Cavity...Pharynx","Ovary","Pancreas","Prostate","Stomach","Thyroid"
16001,"Ada County","Idaho","Mortality","Hispanic","Female",74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","Hispanic","Male",141.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16001,"Ada County","Idaho","Mortality","White NH","All",132.7,4.6,5.6,NA,9.9,NA,4.4,NA,3.4,6.6,4.9,24.4,3,4.4,2.4,NA,10.6,NA,1.6,NA
16001,"Ada County","Idaho","Mortality","White NH","Female",118.4,2.5,4.8,1.4,8.5,4.8,1.3,20.1,2.3,5.3,3.2,22.1,1.9,3.6,1.1,6.5,9.1,NA,1.1,NA
16001,"Ada County","Idaho","Mortality","White NH","Male",151.8,7.4,6.4,NA,11.6,NA,8,NA,4.7,8.2,7,27.3,4.3,5,4,NA,12.4,18.2,2.1,NA
16003,"Adams County","Idaho","Mortality","All","All",146.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","All","Female",134.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","All","Male",155.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","American Indian/Alaska Native NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Asian/Pacific Islander NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Asian/Pacific Islander NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Asian/Pacific Islander NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Black NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Hispanic","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Hispanic","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","Hispanic","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","White NH","All",149.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","White NH","Female",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16003,"Adams County","Idaho","Mortality","White NH","Male",152.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","All","All",153.1,NA,6.4,NA,14,NA,NA,NA,3.8,7.5,7.6,27.2,NA,5,NA,NA,12.4,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","All","Female",132.6,NA,NA,NA,12.5,NA,NA,20.3,NA,NA,NA,24,NA,NA,NA,NA,11.7,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","All","Male",182.1,NA,NA,NA,16,NA,NA,NA,NA,10,10.4,30.6,NA,NA,NA,NA,13.7,28.1,NA,NA
16005,"Bannock County","Idaho","Mortality","American Indian/Alaska Native NH","All",228.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Asian/Pacific Islander NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Asian/Pacific Islander NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Asian/Pacific Islander NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Black NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Hispanic","All",146.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Hispanic","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","Hispanic","Male",209.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","White NH","All",152.6,NA,6.4,NA,14,NA,NA,NA,4.1,7.5,6.3,26.9,NA,5.1,NA,NA,13,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","White NH","Female",132.2,NA,NA,NA,12.6,NA,NA,20.1,NA,NA,NA,23,NA,NA,NA,NA,13,NA,NA,NA
16005,"Bannock County","Idaho","Mortality","White NH","Male",181.8,NA,NA,NA,15.7,NA,NA,NA,NA,10.5,NA,31.3,NA,NA,NA,NA,13.6,29.9,NA,NA
16007,"Bear Lake County","Idaho","Mortality","All","All",127.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","All","Female",109.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","All","Male",155.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","American Indian/Alaska Native NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Asian/Pacific Islander NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Asian/Pacific Islander NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Asian/Pacific Islander NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Black NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Hispanic","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Hispanic","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","Hispanic","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","White NH","All",123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","White NH","Female",103.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16007,"Bear Lake County","Idaho","Mortality","White NH","Male",152.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","All","All",157.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","All","Female",134.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","All","Male",177.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","American Indian/Alaska Native NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Asian/Pacific Islander NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Asian/Pacific Islander NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Asian/Pacific Islander NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Black NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Hispanic","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Hispanic","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","Hispanic","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","White NH","All",162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","White NH","Female",144.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA
16009,"Benewah County","Idaho","Mortality","White NH","Male",179.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","All","All",140.6,NA,NA,NA,15.7,NA,NA,NA,NA,7.3,NA,24.2,NA,NA,NA,NA,7,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","All","Female",126.7,NA,NA,NA,11.9,NA,NA,24.5,NA,NA,NA,16.3,NA,NA,NA,11.9,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","All","Male",156.4,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,24,NA,NA
16011,"Bingham County","Idaho","Mortality","American Indian/Alaska Native NH","All",149.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Asian/Pacific Islander NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Asian/Pacific Islander NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Asian/Pacific Islander NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Black NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Hispanic","All",102.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Hispanic","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","Hispanic","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","White NH","All",144.7,NA,NA,NA,14.8,NA,NA,NA,NA,7.8,NA,25.4,NA,NA,NA,NA,7.2,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","White NH","Female",136.2,NA,NA,NA,NA,NA,NA,24.7,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
16011,"Bingham County","Idaho","Mortality","White NH","Male",155.2,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,31.8,NA,NA,NA,NA,NA,24.9,NA,NA
16013,"Blaine County","Idaho","Mortality","All","All",88.3,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","All","Female",68.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","All","Male",111.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","American Indian/Alaska Native NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Asian/Pacific Islander NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Asian/Pacific Islander NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Asian/Pacific Islander NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Black NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Hispanic","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Hispanic","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","Hispanic","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","White NH","All",94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","White NH","Female",70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16013,"Blaine County","Idaho","Mortality","White NH","Male",122.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","All","All",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","All","Female",90.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","All","Male",100.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","American Indian/Alaska Native NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","American Indian/Alaska Native NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Asian/Pacific Islander NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Asian/Pacific Islander NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Asian/Pacific Islander NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Black NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Black NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Black NH","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Hispanic","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Hispanic","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","Hispanic","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","White NH","All",100.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","White NH","Female",97.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16015,"Boise County","Idaho","Mortality","White NH","Male",103.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16017,"Bonner County","Idaho","Mortality","All","All",134.5,6.4,5.1,NA,11.5,NA,5.2,NA,4.2,6.4,5.7,25.7,NA,NA,NA,NA,12.6,NA,NA,NA
16017,"Bonner County","Idaho","Mortality","All","Female",113.6,NA,NA,NA,10.2,NA,NA,21.3,NA,NA,NA,25.5,NA,NA,NA,NA,12.3,NA,NA,NA
16017,"Bonner County","Idaho","Mortality","All","Male",158.4,13.8,NA,NA,11.7,NA,8.6,NA,NA,NA,8.4,26.1,NA,NA,NA,NA,13,21.2,NA,NA
16017,"Bonner County","Idaho","Mortality","American Indian/Alaska Native NH","All",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16017,"Bonner County","Idaho","Mortality","American Indian/Alaska Native NH","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
