cat,GEOID,Tract,County,State,measure,value,RE,Sex,def,fmt,source,lbl
Environment,16001000703,Census Tract 7.03,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000704,Census Tract 7.04,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000803,Census Tract 8.03,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000805,Census Tract 8.05,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000806,Census Tract 8.06,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000807,Census Tract 8.07,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000808,Census Tract 8.08,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000809,Census Tract 8.09,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000810,Census Tract 8.10,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000901,Census Tract 9.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001000902,Census Tract 9.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001001,Census Tract 10.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001002,Census Tract 10.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001003,Census Tract 10.03,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001100,Census Tract 11.00,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001201,Census Tract 12.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001203,Census Tract 12.03,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001204,Census Tract 12.04,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001401,Census Tract 14.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001402,Census Tract 14.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001500,Census Tract 15.00,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001600,Census Tract 16.00,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001701,Census Tract 17.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001702,Census Tract 17.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001800,Census Tract 18.00,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001001900,Census Tract 19.00,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002000,Census Tract 20.00,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002100,Census Tract 21.00,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002223,Census Tract 22.23,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002225,Census Tract 22.25,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002226,Census Tract 22.26,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002227,Census Tract 22.27,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002228,Census Tract 22.28,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002229,Census Tract 22.29,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002230,Census Tract 22.30,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002231,Census Tract 22.31,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002313,Census Tract 23.13,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002314,Census Tract 23.14,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002315,Census Tract 23.15,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002316,Census Tract 23.16,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002317,Census Tract 23.17,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002318,Census Tract 23.18,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002319,Census Tract 23.19,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002412,Census Tract 24.12,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002414,Census Tract 24.14,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002415,Census Tract 24.15,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002416,Census Tract 24.16,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002417,Census Tract 24.17,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002418,Census Tract 24.18,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001002419,Census Tract 24.19,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010101,Census Tract 101.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010102,Census Tract 101.02,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010224,Census Tract 102.24,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010226,Census Tract 102.26,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010227,Census Tract 102.27,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010228,Census Tract 102.28,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010229,Census Tract 102.29,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010230,Census Tract 102.30,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010231,Census Tract 102.31,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010232,Census Tract 102.32,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010233,Census Tract 102.33,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010234,Census Tract 102.34,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010235,Census Tract 102.35,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010236,Census Tract 102.36,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010237,Census Tract 102.37,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010336,Census Tract 103.36,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010337,Census Tract 103.37,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010338,Census Tract 103.38,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010339,Census Tract 103.39,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010340,Census Tract 103.40,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010341,Census Tract 103.41,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010342,Census Tract 103.42,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010343,Census Tract 103.43,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010344,Census Tract 103.44,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010345,Census Tract 103.45,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010346,Census Tract 103.46,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010347,Census Tract 103.47,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010348,Census Tract 103.48,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010349,Census Tract 103.49,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010350,Census Tract 103.50,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010351,Census Tract 103.51,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010352,Census Tract 103.52,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010353,Census Tract 103.53,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010354,Census Tract 103.54,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010355,Census Tract 103.55,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010356,Census Tract 103.56,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010357,Census Tract 103.57,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010358,Census Tract 103.58,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010359,Census Tract 103.59,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010360,Census Tract 103.60,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010361,Census Tract 103.61,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010362,Census Tract 103.62,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010363,Census Tract 103.63,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010364,Census Tract 103.64,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010365,Census Tract 103.65,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010366,Census Tract 103.66,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010367,Census Tract 103.67,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010368,Census Tract 103.68,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010369,Census Tract 103.69,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010370,Census Tract 103.70,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010371,Census Tract 103.71,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010403,Census Tract 104.03,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010404,Census Tract 104.04,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010405,Census Tract 104.05,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010406,Census Tract 104.06,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010407,Census Tract 104.07,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010408,Census Tract 104.08,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010409,Census Tract 104.09,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010410,Census Tract 104.10,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010411,Census Tract 104.11,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010501,Census Tract 105.01,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010503,Census Tract 105.03,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010505,Census Tract 105.05,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16001010506,Census Tract 105.06,Ada County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16003950100,Census Tract 9501.00,Adams County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16003950200,Census Tract 9502.00,Adams County,Idaho,Cable_B_upload,0.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",0.0
Environment,16005000200,Census Tract 2.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000301,Census Tract 3.01,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000302,Census Tract 3.02,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000400,Census Tract 4.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000500,Census Tract 5.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000600,Census Tract 6.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000700,Census Tract 7.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000800,Census Tract 8.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005000900,Census Tract 9.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001000,Census Tract 10.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001102,Census Tract 11.02,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001103,Census Tract 11.03,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001104,Census Tract 11.04,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001200,Census Tract 12.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001300,Census Tract 13.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001400,Census Tract 14.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001500,Census Tract 15.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001601,Census Tract 16.01,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001602,Census Tract 16.02,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001603,Census Tract 16.03,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001700,Census Tract 17.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16005001900,Census Tract 19.00,Bannock County,Idaho,Cable_B_upload,4.107524790978029,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",4.1
Environment,16005940000,Census Tract 9400.00,Bannock County,Idaho,Cable_B_upload,24.56795889771135,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",24.6
Environment,16005981800,Census Tract 9818.00,Bannock County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16007950100,Census Tract 9501.00,Bear Lake County,Idaho,Cable_B_upload,5.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",5.0
Environment,16007950200,Census Tract 9502.00,Bear Lake County,Idaho,Cable_B_upload,5.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",5.0
Environment,16009940000,Census Tract 9400.00,Benewah County,Idaho,Cable_B_upload,8.757307533964594,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",8.8
Environment,16009950100,Census Tract 9501.00,Benewah County,Idaho,Cable_B_upload,0.7846746575342466,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",0.8
Environment,16011940000,Census Tract 9400.00,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950101,Census Tract 9501.01,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950102,Census Tract 9501.02,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950200,Census Tract 9502.00,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950300,Census Tract 9503.00,Bingham County,Idaho,Cable_B_upload,15.81270182992465,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",15.8
Environment,16011950400,Census Tract 9504.00,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950501,Census Tract 9505.01,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950502,Census Tract 9505.02,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950600,Census Tract 9506.00,Bingham County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
Environment,16011950700,Census Tract 9507.00,Bingham County,Idaho,Cable_B_upload,40.42342698852394,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",40.4
Environment,16013960101,Census Tract 9601.01,Blaine County,Idaho,Cable_B_upload,0.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",0.0
Environment,16013960102,Census Tract 9601.02,Blaine County,Idaho,Cable_B_upload,35.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",35.0
Environment,16013960201,Census Tract 9602.01,Blaine County,Idaho,Cable_B_upload,26.309026662383552,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",26.3
Environment,16013960202,Census Tract 9602.02,Blaine County,Idaho,Cable_B_upload,35.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",35.0
Environment,16013960301,Census Tract 9603.01,Blaine County,Idaho,Cable_B_upload,35.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",35.0
Environment,16013960302,Census Tract 9603.02,Blaine County,Idaho,Cable_B_upload,35.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",35.0
Environment,16013960501,Census Tract 9605.01,Blaine County,Idaho,Cable_B_upload,35.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",35.0
Environment,16013960502,Census Tract 9605.02,Blaine County,Idaho,Cable_B_upload,15.136334812935957,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",15.1
Environment,16015950201,Census Tract 9502.01,Boise County,Idaho,Cable_B_upload,0.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",0.0
Environment,16015950202,Census Tract 9502.02,Boise County,Idaho,Cable_B_upload,0.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",0.0
Environment,16015950203,Census Tract 9502.03,Boise County,Idaho,Cable_B_upload,29.166666666666668,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",29.2
Environment,16017950100,Census Tract 9501.00,Bonner County,Idaho,Cable_B_upload,1.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",1.0
Environment,16017950201,Census Tract 9502.01,Bonner County,Idaho,Cable_B_upload,0.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",0.0
Environment,16017950202,Census Tract 9502.02,Bonner County,Idaho,Cable_B_upload,50.0,,,Cable Upload Speed for Business,int,"FCC, DEC 2023",50.0
