FIPS,County,State,Type,RE,Sex,Site,AAR,AAC
16001,Ada County,Idaho,Mortality,Hispanic,Male,Brain & ONS,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Brain & ONS,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Brain & ONS,,
16001,Ada County,Idaho,Mortality,All,Female,Cervix,1.6,4.0
16001,Ada County,Idaho,Mortality,White NH,Female,Cervix,1.4,3.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Cervix,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Cervix,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Cervix,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Cervix,,
16001,Ada County,Idaho,Mortality,All,All,Colon & Rectum,10.0,56.0
16001,Ada County,Idaho,Mortality,White NH,All,Colon & Rectum,9.9,52.0
16001,Ada County,Idaho,Mortality,Black NH,All,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,All,Female,Colon & Rectum,8.6,26.0
16001,Ada County,Idaho,Mortality,White NH,Female,Colon & Rectum,8.5,24.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,All,Male,Colon & Rectum,11.5,30.0
16001,Ada County,Idaho,Mortality,White NH,Male,Colon & Rectum,11.6,28.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Colon & Rectum,,
16001,Ada County,Idaho,Mortality,All,Female,"Corpus Uteri & Uterus, NOS",4.6,15.0
16001,Ada County,Idaho,Mortality,White NH,Female,"Corpus Uteri & Uterus, NOS",4.8,14.0
16001,Ada County,Idaho,Mortality,Black NH,Female,"Corpus Uteri & Uterus, NOS",,
16001,Ada County,Idaho,Mortality,Hispanic,Female,"Corpus Uteri & Uterus, NOS",,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,"Corpus Uteri & Uterus, NOS",,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,"Corpus Uteri & Uterus, NOS",,
16001,Ada County,Idaho,Mortality,All,All,Esophagus,4.3,25.0
16001,Ada County,Idaho,Mortality,White NH,All,Esophagus,4.4,24.0
16001,Ada County,Idaho,Mortality,Black NH,All,Esophagus,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Esophagus,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Esophagus,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Esophagus,,
16001,Ada County,Idaho,Mortality,All,Female,Esophagus,1.3,4.0
16001,Ada County,Idaho,Mortality,White NH,Female,Esophagus,1.3,4.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Esophagus,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Esophagus,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Esophagus,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Esophagus,,
16001,Ada County,Idaho,Mortality,All,Male,Esophagus,8.0,21.0
16001,Ada County,Idaho,Mortality,White NH,Male,Esophagus,8.0,20.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Esophagus,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Esophagus,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Esophagus,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Esophagus,,
16001,Ada County,Idaho,Mortality,All,Female,Female Breast,19.7,59.0
16001,Ada County,Idaho,Mortality,White NH,Female,Female Breast,20.1,56.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Female Breast,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Female Breast,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Female Breast,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Female Breast,,
16001,Ada County,Idaho,Mortality,All,All,Kidney & Renal Pelvis,3.5,20.0
16001,Ada County,Idaho,Mortality,White NH,All,Kidney & Renal Pelvis,3.4,18.0
16001,Ada County,Idaho,Mortality,Black NH,All,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,All,Female,Kidney & Renal Pelvis,2.3,7.0
16001,Ada County,Idaho,Mortality,White NH,Female,Kidney & Renal Pelvis,2.3,7.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,All,Male,Kidney & Renal Pelvis,4.9,13.0
16001,Ada County,Idaho,Mortality,White NH,Male,Kidney & Renal Pelvis,4.7,12.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Kidney & Renal Pelvis,,
16001,Ada County,Idaho,Mortality,All,All,Leukemia,6.5,35.0
16001,Ada County,Idaho,Mortality,White NH,All,Leukemia,6.6,33.0
16001,Ada County,Idaho,Mortality,Black NH,All,Leukemia,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Leukemia,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Leukemia,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Leukemia,,
16001,Ada County,Idaho,Mortality,All,Female,Leukemia,5.2,15.0
16001,Ada County,Idaho,Mortality,White NH,Female,Leukemia,5.3,15.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Leukemia,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Leukemia,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Leukemia,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Leukemia,,
16001,Ada County,Idaho,Mortality,All,Male,Leukemia,8.1,19.0
16001,Ada County,Idaho,Mortality,White NH,Male,Leukemia,8.2,18.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Leukemia,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Leukemia,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Leukemia,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Leukemia,,
16001,Ada County,Idaho,Mortality,All,All,Liver & IBD,5.4,31.0
16001,Ada County,Idaho,Mortality,White NH,All,Liver & IBD,4.9,27.0
16001,Ada County,Idaho,Mortality,Black NH,All,Liver & IBD,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Liver & IBD,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Liver & IBD,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Liver & IBD,,
16001,Ada County,Idaho,Mortality,All,Female,Liver & IBD,3.5,11.0
16001,Ada County,Idaho,Mortality,White NH,Female,Liver & IBD,3.2,9.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Liver & IBD,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Liver & IBD,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Liver & IBD,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Liver & IBD,,
16001,Ada County,Idaho,Mortality,All,Male,Liver & IBD,7.5,21.0
16001,Ada County,Idaho,Mortality,White NH,Male,Liver & IBD,7.0,18.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Liver & IBD,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Liver & IBD,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Liver & IBD,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Liver & IBD,,
16001,Ada County,Idaho,Mortality,All,All,Lung & Bronchus,24.2,136.0
16001,Ada County,Idaho,Mortality,White NH,All,Lung & Bronchus,24.4,130.0
16001,Ada County,Idaho,Mortality,Black NH,All,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Lung & Bronchus,36.8,3.0
16001,Ada County,Idaho,Mortality,All,Female,Lung & Bronchus,22.0,68.0
16001,Ada County,Idaho,Mortality,White NH,Female,Lung & Bronchus,22.1,64.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,All,Male,Lung & Bronchus,27.0,68.0
16001,Ada County,Idaho,Mortality,White NH,Male,Lung & Bronchus,27.3,65.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Lung & Bronchus,,
16001,Ada County,Idaho,Mortality,All,All,Melanoma of the Skin,2.8,16.0
16001,Ada County,Idaho,Mortality,White NH,All,Melanoma of the Skin,3.0,16.0
16001,Ada County,Idaho,Mortality,Black NH,All,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,All,Female,Melanoma of the Skin,1.7,5.0
16001,Ada County,Idaho,Mortality,White NH,Female,Melanoma of the Skin,1.9,5.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,All,Male,Melanoma of the Skin,4.0,11.0
16001,Ada County,Idaho,Mortality,White NH,Male,Melanoma of the Skin,4.3,11.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Melanoma of the Skin,,
16001,Ada County,Idaho,Mortality,All,All,Non-Hodgkin Lymphoma,4.4,24.0
16001,Ada County,Idaho,Mortality,White NH,All,Non-Hodgkin Lymphoma,4.4,23.0
16001,Ada County,Idaho,Mortality,Black NH,All,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,All,Female,Non-Hodgkin Lymphoma,3.5,11.0
16001,Ada County,Idaho,Mortality,White NH,Female,Non-Hodgkin Lymphoma,3.6,10.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,All,Male,Non-Hodgkin Lymphoma,5.1,13.0
16001,Ada County,Idaho,Mortality,White NH,Male,Non-Hodgkin Lymphoma,5.0,12.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Non-Hodgkin Lymphoma,,
16001,Ada County,Idaho,Mortality,All,All,Oral Cavity & Pharynx,2.4,14.0
16001,Ada County,Idaho,Mortality,White NH,All,Oral Cavity & Pharynx,2.4,13.0
16001,Ada County,Idaho,Mortality,Black NH,All,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,All,Female,Oral Cavity & Pharynx,1.0,3.0
16001,Ada County,Idaho,Mortality,White NH,Female,Oral Cavity & Pharynx,1.1,3.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,All,Male,Oral Cavity & Pharynx,4.0,11.0
16001,Ada County,Idaho,Mortality,White NH,Male,Oral Cavity & Pharynx,4.0,10.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Oral Cavity & Pharynx,,
16001,Ada County,Idaho,Mortality,All,Female,Ovary,6.2,19.0
16001,Ada County,Idaho,Mortality,White NH,Female,Ovary,6.5,19.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Ovary,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Ovary,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Ovary,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Ovary,,
16001,Ada County,Idaho,Mortality,All,All,Pancreas,10.6,62.0
16001,Ada County,Idaho,Mortality,White NH,All,Pancreas,10.6,58.0
16001,Ada County,Idaho,Mortality,Black NH,All,Pancreas,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Pancreas,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Pancreas,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Pancreas,,
16001,Ada County,Idaho,Mortality,All,Female,Pancreas,9.1,28.0
16001,Ada County,Idaho,Mortality,White NH,Female,Pancreas,9.1,26.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Pancreas,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Pancreas,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Pancreas,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Pancreas,,
16001,Ada County,Idaho,Mortality,All,Male,Pancreas,12.4,33.0
16001,Ada County,Idaho,Mortality,White NH,Male,Pancreas,12.4,31.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Pancreas,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Pancreas,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Pancreas,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Pancreas,,
16001,Ada County,Idaho,Mortality,All,Male,Prostate,18.0,41.0
16001,Ada County,Idaho,Mortality,White NH,Male,Prostate,18.2,40.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Prostate,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Prostate,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Prostate,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Prostate,,
16001,Ada County,Idaho,Mortality,All,All,Stomach,1.8,10.0
16001,Ada County,Idaho,Mortality,White NH,All,Stomach,1.6,8.0
16001,Ada County,Idaho,Mortality,Black NH,All,Stomach,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Stomach,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Stomach,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Stomach,,
16001,Ada County,Idaho,Mortality,All,Female,Stomach,1.4,4.0
16001,Ada County,Idaho,Mortality,White NH,Female,Stomach,1.1,3.0
16001,Ada County,Idaho,Mortality,Black NH,Female,Stomach,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Stomach,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Stomach,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Stomach,,
16001,Ada County,Idaho,Mortality,All,Male,Stomach,2.3,5.0
16001,Ada County,Idaho,Mortality,White NH,Male,Stomach,2.1,5.0
16001,Ada County,Idaho,Mortality,Black NH,Male,Stomach,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Stomach,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Stomach,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Stomach,,
16001,Ada County,Idaho,Mortality,All,All,Thyroid,0.6,3.0
16001,Ada County,Idaho,Mortality,White NH,All,Thyroid,,
16001,Ada County,Idaho,Mortality,Black NH,All,Thyroid,,
16001,Ada County,Idaho,Mortality,Hispanic,All,Thyroid,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,All,Thyroid,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,All,Thyroid,,
16001,Ada County,Idaho,Mortality,All,Female,Thyroid,,
16001,Ada County,Idaho,Mortality,White NH,Female,Thyroid,,
16001,Ada County,Idaho,Mortality,Black NH,Female,Thyroid,,
16001,Ada County,Idaho,Mortality,Hispanic,Female,Thyroid,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Thyroid,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Thyroid,,
16001,Ada County,Idaho,Mortality,All,Male,Thyroid,,
16001,Ada County,Idaho,Mortality,White NH,Male,Thyroid,,
16001,Ada County,Idaho,Mortality,Black NH,Male,Thyroid,,
16001,Ada County,Idaho,Mortality,Hispanic,Male,Thyroid,,
16001,Ada County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Thyroid,,
16001,Ada County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Thyroid,,
16003,Adams County,Idaho,Mortality,All,All,All Site,146.6,14.0
16003,Adams County,Idaho,Mortality,White NH,All,All Site,149.2,13.0
16003,Adams County,Idaho,Mortality,Black NH,All,All Site,,
16003,Adams County,Idaho,Mortality,Hispanic,All,All Site,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,All,All Site,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,All,All Site,,
16003,Adams County,Idaho,Mortality,All,Female,All Site,134.6,6.0
16003,Adams County,Idaho,Mortality,White NH,Female,All Site,143.0,6.0
16003,Adams County,Idaho,Mortality,Black NH,Female,All Site,,
16003,Adams County,Idaho,Mortality,Hispanic,Female,All Site,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,Female,All Site,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,Female,All Site,,
16003,Adams County,Idaho,Mortality,All,Male,All Site,155.7,8.0
16003,Adams County,Idaho,Mortality,White NH,Male,All Site,152.9,7.0
16003,Adams County,Idaho,Mortality,Black NH,Male,All Site,,
16003,Adams County,Idaho,Mortality,Hispanic,Male,All Site,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,Male,All Site,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,Male,All Site,,
16003,Adams County,Idaho,Mortality,All,All,Bladder,,
16003,Adams County,Idaho,Mortality,White NH,All,Bladder,,
16003,Adams County,Idaho,Mortality,Black NH,All,Bladder,,
16003,Adams County,Idaho,Mortality,Hispanic,All,Bladder,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,All,Bladder,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,All,Bladder,,
16003,Adams County,Idaho,Mortality,All,Female,Bladder,,
16003,Adams County,Idaho,Mortality,White NH,Female,Bladder,,
16003,Adams County,Idaho,Mortality,Black NH,Female,Bladder,,
16003,Adams County,Idaho,Mortality,Hispanic,Female,Bladder,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Bladder,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,Female,Bladder,,
16003,Adams County,Idaho,Mortality,All,Male,Bladder,,
16003,Adams County,Idaho,Mortality,White NH,Male,Bladder,,
16003,Adams County,Idaho,Mortality,Black NH,Male,Bladder,,
16003,Adams County,Idaho,Mortality,Hispanic,Male,Bladder,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,Male,Bladder,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,Male,Bladder,,
16003,Adams County,Idaho,Mortality,All,All,Brain & ONS,,
16003,Adams County,Idaho,Mortality,White NH,All,Brain & ONS,,
16003,Adams County,Idaho,Mortality,Black NH,All,Brain & ONS,,
16003,Adams County,Idaho,Mortality,Hispanic,All,Brain & ONS,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,All,Brain & ONS,,
16003,Adams County,Idaho,Mortality,Asian/Pacific Islander NH,All,Brain & ONS,,
16003,Adams County,Idaho,Mortality,All,Female,Brain & ONS,,
16003,Adams County,Idaho,Mortality,White NH,Female,Brain & ONS,,
16003,Adams County,Idaho,Mortality,Black NH,Female,Brain & ONS,,
16003,Adams County,Idaho,Mortality,Hispanic,Female,Brain & ONS,,
16003,Adams County,Idaho,Mortality,American Indian/Alaska Native NH,Female,Brain & ONS,,
